date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:09:13	132984/132984	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Aug%202023%2019:09:13%20GMT	https://hoteltara.rs/	C:/My%20Web%20Sites/Koliba%20Grza/hoteltara.rs/index.html	(from )
21:09:13	123/123	---M-Z	200	added ('OK')	text/plain	date:Sat,%2019%20Aug%202023%2019:09:13%20GMT	https://hoteltara.rs/robots.txt		(from )
21:09:14	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2019%20Aug%202023%2019:09:14%20GMT	https://hoteltara.rs/xmlrpc.php	C:/My%20Web%20Sites/Koliba%20Grza/hoteltara.rs/xmlrpc.php	(from https://hoteltara.rs/)
21:09:15	24505/24505	---M-Z	200	added ('OK')	text/css	date:Thu,%2024%20Feb%202022%2016:57:29%20GMT	https://hoteltara.rs/wp-content/plugins/instagram-feed/css/sbi-styles.min.css?ver=6.0.4	C:/My%20Web%20Sites/Koliba%20Grza/hoteltara.rs/wp-content/plugins/instagram-feed/css/sbi-styles.mindc24.css	(from https://hoteltara.rs/)
21:09:15	663/663	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Dec%202020%2016:13:27%20GMT	https://hoteltara.rs/wp-content/themes/hotello-child/style.css?ver=024acc6dcf535e3de1106b99c0208dfd	C:/My%20Web%20Sites/Koliba%20Grza/hoteltara.rs/wp-content/themes/hotello-child/style9cf1.css	(from https://hoteltara.rs/)
21:09:15	994/994	---M-Z	200	added ('OK')	application/rss+xml	etag:%22b70756db47b24f9d9e40f662ec559b1a%22	https://hoteltara.rs/feed/	C:/My%20Web%20Sites/Koliba%20Grza/hoteltara.rs/feed/index.html	(from https://hoteltara.rs/)
21:09:15	262024/262024	---M-Z	200	added ('OK')	text/css	date:Sun,%2031%20Jan%202021%2016:53:33%20GMT	https://hoteltara.rs/wp-content/themes/hotello/public/css/app.css?ver=1.0	C:/My%20Web%20Sites/Koliba%20Grza/hoteltara.rs/wp-content/themes/hotello/public/css/app5152.css	(from https://hoteltara.rs/)
21:09:16	39708/39708	---M-Z	200	added ('OK')	text/css	date:Sun,%2031%20Jan%202021%2016:53:43%20GMT	https://hoteltara.rs/wp-content/themes/hotello/public/vendors/font-awesome.css?ver=1.0	C:/My%20Web%20Sites/Koliba%20Grza/hoteltara.rs/wp-content/themes/hotello/public/vendors/font-awesome5152.css	(from https://hoteltara.rs/)
21:09:16	14859/14859	---M-Z	200	added ('OK')	text/css	date:Wed,%2023%20Dec%202020%2013:07:35%20GMT	https://hoteltara.rs/wp-content/uploads/stm_uploads/skin-custom.css?ver=42	C:/My%20Web%20Sites/Koliba%20Grza/hoteltara.rs/wp-content/uploads/stm_uploads/skin-custom66e3.css	(from https://hoteltara.rs/)
21:09:16	693/693	---M-Z	200	added ('OK')	application/rss+xml	etag:%22b70756db47b24f9d9e40f662ec559b1a%22	https://hoteltara.rs/comments/feed/	C:/My%20Web%20Sites/Koliba%20Grza/hoteltara.rs/comments/feed/index.html	(from https://hoteltara.rs/)
21:09:16	22436/22436	---M-Z	200	added ('OK')	text/css	date:Sun,%2031%20Jan%202021%2016:53:53%20GMT	https://hoteltara.rs/wp-content/themes/hotello/public/css/post/style_1.css?ver=1.0	C:/My%20Web%20Sites/Koliba%20Grza/hoteltara.rs/wp-content/themes/hotello/public/css/post/style_15152.css	(from https://hoteltara.rs/)
21:09:16	3210/3210	---M-Z	200	added ('OK')	text/css	date:Sun,%2031%20Jan%202021%2016:53:53%20GMT	https://hoteltara.rs/wp-content/themes/hotello/public/css/titlebox/style_1.css?ver=1.0	C:/My%20Web%20Sites/Koliba%20Grza/hoteltara.rs/wp-content/themes/hotello/public/css/titlebox/style_15152.css	(from https://hoteltara.rs/)
21:09:17	0/0	---M--	200	added ('OK')	text/css	date:Sun,%2031%20Jan%202021%2016:53:52%20GMT	https://hoteltara.rs/wp-content/themes/hotello/public/css/forms/frankfurt.css?ver=1.0	C:/My%20Web%20Sites/Koliba%20Grza/hoteltara.rs/wp-content/themes/hotello/public/css/forms/frankfurt5152.css	(from https://hoteltara.rs/)
21:09:17	909/909	---M-Z	200	added ('OK')	text/css	date:Sun,%2031%20Jan%202021%2016:53:52%20GMT	https://hoteltara.rs/wp-content/themes/hotello/public/css/buttons/frankfurt.css?ver=1.0	C:/My%20Web%20Sites/Koliba%20Grza/hoteltara.rs/wp-content/themes/hotello/public/css/buttons/frankfurt5152.css	(from https://hoteltara.rs/)
21:09:17	55858/55858	---M-Z	200	added ('OK')	text/css	date:Sun,%2031%20Jan%202021%2016:55:06%20GMT	https://hoteltara.rs/wp-content/themes/hotello/public/css/vendors/hotelier/frankfurt/hotelier.css?ver=1.0	C:/My%20Web%20Sites/Koliba%20Grza/hoteltara.rs/wp-content/themes/hotello/public/css/vendors/hotelier/frankfurt/hotelier5152.css	(from https://hoteltara.rs/)
21:09:17	6216/6216	---M-Z	200	added ('OK')	text/css	date:Sun,%2031%20Jan%202021%2016:54:32%20GMT	https://hoteltara.rs/wp-content/themes/hotello/public/css/header/styles/style_1.css?ver=1.0	C:/My%20Web%20Sites/Koliba%20Grza/hoteltara.rs/wp-content/themes/hotello/public/css/header/styles/style_15152.css	(from https://hoteltara.rs/)
21:09:18	61098/61098	---M-Z	200	added ('OK')	text/css	date:Sun,%2031%20Jan%202021%2016:53:58%20GMT	https://hoteltara.rs/wp-content/themes/hotello/public/fonts/stmicons/stmicons.css?ver=1.0	C:/My%20Web%20Sites/Koliba%20Grza/hoteltara.rs/wp-content/themes/hotello/public/fonts/stmicons/stmicons5152.css	(from https://hoteltara.rs/)
21:09:18	95021/95021	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20May%202023%2015:44:50%20GMT	https://hoteltara.rs/wp-includes/css/dist/block-library/style.min.css?ver=024acc6dcf535e3de1106b99c0208dfd	C:/My%20Web%20Sites/Koliba%20Grza/hoteltara.rs/wp-includes/css/dist/block-library/style.min9cf1.css	(from https://hoteltara.rs/)
21:09:18	217/217	---M-Z	200	added ('OK')	text/css	date:Sat,%2004%20Feb%202023%2013:26:24%20GMT	https://hoteltara.rs/wp-includes/css/classic-themes.min.css?ver=1	C:/My%20Web%20Sites/Koliba%20Grza/hoteltara.rs/wp-includes/css/classic-themes.min68b3.css	(from https://hoteltara.rs/)
21:09:18	2803/2803	---M-Z	200	added ('OK')	text/css	date:Sat,%2004%20Feb%202023%2013:27:39%20GMT	https://hoteltara.rs/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.7.3	C:/My%20Web%20Sites/Koliba%20Grza/hoteltara.rs/wp-content/plugins/contact-form-7/includes/css/styles76f3.css	(from https://hoteltara.rs/)
21:09:19	60385/60385	---M-Z	200	added ('OK')	text/css	date:Sun,%2031%20Jan%202021%2017:27:15%20GMT	https://hoteltara.rs/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.3.6	C:/My%20Web%20Sites/Koliba%20Grza/hoteltara.rs/wp-content/plugins/revslider/public/assets/css/rs60587.css	(from https://hoteltara.rs/)
21:09:19	20179/20179	---M-Z	200	added ('OK')	text/css	date:Tue,%2023%20Nov%202021%2012:31:37%20GMT	https://hoteltara.rs/wp-content/plugins/wp-hotelier/assets/css/frontend/hotelier.css?ver=2.6.3	C:/My%20Web%20Sites/Koliba%20Grza/hoteltara.rs/wp-content/plugins/wp-hotelier/assets/css/frontend/hotelier6fca.css	(from https://hoteltara.rs/)
21:09:19	458/458	---M-Z	200	added ('OK')	text/css	date:Sun,%2031%20Jan%202021%2016:54:45%20GMT	https://hoteltara.rs/wp-content/themes/hotello/inc/admin/theme_options/sticky_header/assets/sticky.css?ver=024acc6dcf535e3de1106b99c0208dfd	C:/My%20Web%20Sites/Koliba%20Grza/hoteltara.rs/wp-content/themes/hotello/inc/admin/theme_options/sticky_header/assets/sticky9cf1.css	(from https://hoteltara.rs/)
21:09:19	485416/485416	---M-Z	200	added ('OK')	text/css	date:Fri,%2012%20Feb%202021%2013:32:22%20GMT	https://hoteltara.rs/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.5.0	C:/My%20Web%20Sites/Koliba%20Grza/hoteltara.rs/wp-content/plugins/js_composer/assets/css/js_composer.mine6df.css	(from https://hoteltara.rs/)
21:09:20	89684/89684	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2004%20Feb%202023%2013:26:24%20GMT	https://hoteltara.rs/wp-includes/js/jquery/jquery.min.js?ver=3.6.1	C:/My%20Web%20Sites/Koliba%20Grza/hoteltara.rs/wp-includes/js/jquery/jquery.mina7a0.js	(from https://hoteltara.rs/)
21:09:20	11224/11224	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2007%20Dec%202021%2016:03:32%20GMT	https://hoteltara.rs/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/Koliba%20Grza/hoteltara.rs/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://hoteltara.rs/)
21:09:20	11898/11898	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2004%20Feb%202023%2013:27:41%20GMT	https://hoteltara.rs/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtag.min.js?ver=8.12.1	C:/My%20Web%20Sites/Koliba%20Grza/hoteltara.rs/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtag.min79da.js	(from https://hoteltara.rs/)
21:09:20	124185/124185	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2031%20Jan%202021%2017:27:14%20GMT	https://hoteltara.rs/wp-content/plugins/revslider/public/assets/js/rbtools.min.js?ver=6.3.6	C:/My%20Web%20Sites/Koliba%20Grza/hoteltara.rs/wp-content/plugins/revslider/public/assets/js/rbtools.min0587.js	(from https://hoteltara.rs/)
21:09:21	337085/337085	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2031%20Jan%202021%2017:27:14%20GMT	https://hoteltara.rs/wp-content/plugins/revslider/public/assets/js/rs6.min.js?ver=6.3.6	C:/My%20Web%20Sites/Koliba%20Grza/hoteltara.rs/wp-content/plugins/revslider/public/assets/js/rs6.min0587.js	(from https://hoteltara.rs/)
21:09:21	47434/47434	---MCZ	200	added ('OK')	application/json	date:Sat,%2019%20Aug%202023%2019:09:21%20GMT	https://hoteltara.rs/wp-json/wp/v2/pages/1744	C:/My%20Web%20Sites/Koliba%20Grza/hoteltara.rs/wp-json/wp/v2/pages/1744.json	(from https://hoteltara.rs/)
21:09:21	347262/347262	---MCZ	200	added ('OK')	application/json	date:Sat,%2019%20Aug%202023%2019:09:21%20GMT	https://hoteltara.rs/wp-json/	C:/My%20Web%20Sites/Koliba%20Grza/hoteltara.rs/wp-json/index.html	(from https://hoteltara.rs/)
21:09:21	787/787	---M-Z	200	added ('OK')	text/xml	date:Sat,%2019%20Aug%202023%2019:09:21%20GMT	https://hoteltara.rs/xmlrpc.php?rsd	C:/My%20Web%20Sites/Koliba%20Grza/hoteltara.rs/xmlrpc0db0.php	(from https://hoteltara.rs/)
21:09:22	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Tue,%2007%20Dec%202021%2016:03:32%20GMT	https://hoteltara.rs/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/Koliba%20Grza/hoteltara.rs/wp-includes/wlwmanifest.xml	(from https://hoteltara.rs/)
